t_id,t_type,t_source_acc,t_amount,t_transfer_acc
TX001,deposit,6001,10000,
TX002,withdraw,6002,8000,
TX003,transfer,6003,5000,6004
TX004,deposit,6005,15000,
TX005,withdraw,6006,2000,
TX006,transfer,6007,3000,6008
TX007,deposit,6009,12000,
TX008,withdraw,6010,7000,
TX009,transfer,6011,4000,6012
TX010,deposit,6013,20000,
TX011,withdraw,6014,5000,
TX012,transfer,6015,6000,6001
TX013,deposit,6002,-3000,
TX014,withdraw,6003,999999,
TX015,transfer,6004,2000,6004
TX016,deposit,6020,7000,
TX017,withdraw,6005,0,
TX018,transfer,6006,4500,6050
TX019,deposit,6007,abc,
TX020,withdraw,6008,-2500,
TX021,transfer,6009,3000,
TX022,deposit,6010,5000,
TX023,withdraw,6011,3500,
TX024,transfer,6012,4000,6013
TX025,deposit,6014,6000,
TX026,withdraw,6015,2000,
TX027,transfer,6001,5000,6002
TX028,deposit,6003,4500,
TX029,withdraw,6004,3000,
TX030,transfer,6005,7000,6006
